name,id,description,type,subtype,
fallingplates.com,1,,udp,,
mesdefisjenparle.com,2,,udp,,
mirstudentov.com,3,,udp,,
lmkenya.org,4,,udp,,
cn.indigitous.org,5,,udp,,
poiskboga.kz,6,,udp,,
give.cru.org,7,,udp,,
churchonline.faith,8,,udp,,
tanriylayurumek.com,9,,udp,,
studentstan.com,10,,udp,,
jesusfilm.org,11,,udp,,
suaescolha.com,12,,udp,,
studentskikutak.com,13,,udp,,
newliferussia.ru,14,,udp,,
familylifetoday.com,15,,udp,,
habeshastudent.com,16,,udp,,
1patasxan.com,17,,udp,,
thelifeproject.com,18,,udp,,
ognistudente.com,19,,udp,,
kazdystudent.pl,20,,udp,,
godtools,21,,udp,,
thekey.me,22,,udp,,
p2c.com,23,,udp,,
cru.org,24,,udp,,
shop.familylife.com,25,,udp,,
maarifatallah.com,26,,udp,,
everystudent.ro,27,,udp,,
everyarabstudent.com,28,,udp,,
signon.cru.org,29,,udp,,
get.missionhub.com,30,,udp,,
startingwithgod.com,31,,udp,,
studentishqiptar.com,32,,udp,,
everystudent.info,33,,udp,,
mahasiswakeren.com,34,,udp,,
indigitous.org,35,,udp,,
everytelugustudent.com,36,,udp,,
gainusa.org,37,,udp,,
cadaestudiante.com,38,,udp,,
thelife.com,39,,udp,,
kampusweb.com,40,,udp,,
4laws.com,41,,udp,,
everystudent.in,42,,udp,,
boilingwaters.ph,43,,udp,,
athletesinaction.org,44,,udp,,
everystudent.sk,45,,udp,,
chenggongle.com,46,,udp,,
conhecendodeus.com,47,,udp,,
staffweb.cru.org,48,,udp,,
everystudent.bg,49,,udp,,
mystruggles.in,50,,udp,,
familylife.com,51,,udp,,
everyperson.com,52,,udp,,
studnet.ro,53,,udp,,
tailal.mn,54,,udp,,
soularium,55,,udp,,
kovelistudenti.com,56,,udp,,
everypersianstudent.com,57,,udp,,
jfapp,58,,udp,,
pyetjetejetes.com,59,,udp,,
khudakaysathagaaz.com,60,,udp,,
gcmnigeria.org,61,,udp,,
my.nextstep.is,62,,udp,,
signon.relaysso.org,63,,udp,,
storyrunners.org,64,,udp,,
pouvoirdechanger.com,65,,udp,,
tandem.org.nz,66,,udp,,
duentscheidest.com,67,,udp,,
donate.familylife.com,68,,udp,,
josh.org,69,,udp,,
xinshengming.com,70,,udp,,
everystudent.com,71,,udp,,
leaderimpact.com,72,,udp,,
everystudent.hu,73,,udp,,
apply.cru.org,74,,udp,,
get.mpdx.org,75,,udp,,
zindagikaysawalat.com,76,,udp,,
yoenfrento.com,77,,udp,,
kirkdurston.com,78,,udp,,
issuesiface.com,79,,udp,,
agapeeurope.org,80,,udp,,
ieskaudievo.lt,81,,udp,,
missionhub,82,,udp,,
jetaere.com,83,,udp,,
goaia.org,84,,udp,,
sites.cru.org,85,,udp,,
perspectivecards,86,,udp,,
leaderhub.leaderimpact.com,87,,udp,,
kurzy.hladamboha.sk,88,,udp,,
smapp.cru.org,89,,udp,,
studentskiodgovori.com,90,,udp,,
studentinjapan.com,91,,udp,,
zaciatkysbohom.sk,92,,udp,,
everybarataa.com,93,,udp,,
ijr.al,94,,udp,,
isponline.org,95,,udp,,
malgretout.fr,96,,udp,,
empezandocondios.com,97,,udp,,
studentup.ro,98,,udp,,
shine.ijr.al,99,,udp,,
powertochange.org.au,100,,udp,,
ert,101,,udp,,
mpdx,102,,udp,,
hayatinanlami.net,103,,udp,,
sportetfoi.org,104,,udp,,
thefour.com,105,,udp,,
everykoreanstudent.com,106,,udp,,
startmitgott.de,107,,udp,,
my.vokeapp.com,108,,udp,,
startzbogiem.pl,109,,udp,,
kiekvienamstudentui.lt,110,,udp,,
studiubiblic.ro,111,,udp,,
vrlovazno.com,112,,udp,,
her.bible,113,,udp,,
everycampus.com,114,,udp,,
tjedanbraka.org,115,,udp,,
agapemedia.fr,116,,udp,,
familylifeglobal.com,117,,udp,,
leaderimpact.ca,118,,udp,,
elsolepesek.hu,119,,udp,,
crustore.org,120,,udp,,
assist.athletesinaction.org,121,,udp,,
familylifeblended.com,122,,udp,,
leaderimpact.org,123,,udp,,
everythaistudent.com,124,,udp,,
agape.org.uk,125,,udp,,
vsakstudent.com,126,,udp,,
globalstaffweb.cru.org,127,,udp,,
misiones.vidaestudiantil.com,128,,udp,,
agapefrance.org,129,,udp,,
cru.md,130,,udp,,
ldhr.org,131,,udp,,
gcmghana.org,132,,udp,,
questions2vie.com,133,,udp,,
lyon.agapecampus.fr,134,,udp,,
atoi2voir.com,135,,udp,,
cruromania.ro,136,,udp,,
globalstaffwomen.com,137,,udp,,
godtoolsapp.com,138,,udp,,
everystudent.gr,139,,udp,,
aveczelles.fr,140,,udp,,
dons.agapefrance.org,141,,udp,,
murasala.net,142,,udp,,
everystudent.com.tw,143,,udp,,
mirsbogom.com,144,,udp,,
share.powertochange.com,145,,udp,,
svitstudentiv.com,146,,udp,,
jesus.fr,147,,udp,,
cpctchad.org,148,,udp,,
everystudent.cz,149,,udp,,
translatoruser-int.com,150,,udp,,
everyvietstudent.com,151,,udp,,
freshman.com.tw,152,,udp,,
newarabstudent.com,153,,udp,,
talmazaonline.com,154,,udp,,
agapecampus.fr,155,,udp,,
isharesystem.org,156,,udp,,
demarreravecdieu.com,157,,udp,,
atoi2voirdieu.com,158,,udp,,
agapeart.org,159,,udp,,
toietmoi.org,160,,udp,,
maseeheyat.com,161,,udp,,
p2clavie.com,162,,udp,,
ilovegrow.com,163,,udp,,
strong2gether.ru,164,,udp,,
familylife.org.nz,165,,udp,,
suauniversidade.com,166,,udp,,
br.indigitous.org,167,,udp,,
fr.indigitous.org,168,,udp,,
cercledaffairespourchrist.com,169,,udp,,
estouenfrentando.com,170,,udp,,
etudiantleader.com,171,,udp,,
movementlife.org,172,,udp,,
vokeapp.com,173,,udp,,
thesearch.com.tw,174,,udp,,
agape.ie,175,,udp,,
crescendofrance.org,176,,udp,,
es.indigitous.org,177,,udp,,
agapeparis.org,178,,udp,,
prvikoraki.com,179,,udp,,
meknark.com,180,,udp,,
es.vokeapp.com,181,,udp,,
cadaestudiantelider.com,182,,udp,,
destino.org,183,,udp,,
fek.hu,184,,udp,,
thefour.sg,185,,udp,,
zh-hant.indigitous.org,186,,udp,,
de.indigitous.org,187,,udp,,
espanol.josh.org,188,,udp,,
pontjezus.hu,189,,udp,,
makingyourlifecountradio.org,190,,udp,,
hy.discipleshiponline.net,191,,udp,,
aiarus.ru,192,,udp,,
tr.discipleshiponline.net,193,,udp,,
p2cdigital.com,194,,udp,,
josh.newliferussia.ru,195,,udp,,
familylife.ru,196,,udp,,
shakirtter.com,197,,udp,,
givebr.cru.org,198,,udp,,
discipleshiponline.net,199,,udp,,
rennes.agapecampus.fr,200,,udp,,
everystudentleader.com,201,,udp,,
ceritakuceritamu.com,202,,udp,,
studentimpact.jp,203,,udp,,
jedermover.com,204,,udp,,
agapesansfrontieres.org,205,,udp,,
fallingplates.info,206,,udp,,
merasangharsh.in,207,,udp,,
epicwalkingonwater.com,208,,udp,,
addishiwot.net,209,,udp,,
mail.powertochange.org.au,210,,udp,,
showjesus.com,211,,udp,,
mt28.pl,212,,udp,,
multiplikasi.com,213,,udp,,
livingandtelling.com,214,,udp,,
familylife.ro,215,,udp,,
apt.foundation,216,,udp,,
portal.powertochange.org.au,217,,udp,,
ywamkc.isharesystem.org,218,,udp,,
app.watchthinkchat.com,219,,udp,,
ungalthervuenna.com,220,,udp,,
epicmovement.com,221,,udp,,
globalaid.net.au,222,,udp,,
watchthinkchat.com,223,,udp,,
projects.studentlife.org.nz,224,,udp,,
give.tandem.org.nz,225,,udp,,
tudengielu.net,226,,udp,,
iecinaddis.watchthinkchat.com,227,,udp,,
beizeng.xinshengming.com,228,,udp,,
masalho.com,229,,udp,,
cudumnezeu.ro,230,,udp,,
josh.masterworks.digital,231,,udp,,
memulaibersamaallah.com,232,,udp,,
campuscrusade.in,233,,udp,,
nachalosbog.bg,234,,udp,,
gcmethiopia.org,235,,udp,,
familylife.nz,236,,udp,,
lmmalawi.org,237,,udp,,
everymyanmarstudent.com,238,,udp,,
th.indigitous.org,239,,udp,,
alege-viata.ro,240,,udp,,
familylife.com.,241,,udp,,
epicgreater.com,242,,udp,,
projects.powertochange.org.au,243,,udp,,
csaapp.cru.org,244,,udp,,
everystudent.md,245,,udp,,
kitobhona.com,246,,udp,,
ce-un.org,247,,udp,,
curs.cudumnezeu.ro,248,,udp,,
foundationforinternetliberties.org,249,,udp,,
timoteus.hu,250,,udp,,
disc.studnet.ro,251,,udp,,
cineesti.studnet.ro,252,,udp,,
upgradesuceava.ro,253,,udp,,
kudai.kz,254,,udp,,
keyvolunteers.com,255,,udp,,
gemenaye.com,256,,udp,,
eknayajeevan.com,257,,udp,,
give.cru.org.,258,,udp,,
appassets.androidplatform.net,259,,udp,,
paris.agapecampus.fr,260,,udp,,
