#=================================================================
# GodTools
# Report Suite: God Tools Mobile App
"# Date: Dec 31, 2019 - Dec 29, 2020"
#=================================================================


##############################################
# GodTools Digital Missionaires
##############################################
,Active User (GodTools),Active User (GodTools),Active User (GodTools),Active User (GodTools)
,Last FULL 365 days (-2),Last FULL 90 days (-2),Last FULL 30 days (-2),Last FULL 7 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,26586,7432,1974,405
Venezuela,1737,993,273,20
Mexico,1737,851,231,56
Colombia,1541,663,170,53
Philippines,1942,452,142,27
Indonesia,2192,911,129,14
Argentina,1147,508,125,16
United States,5006,477,122,31
Guatemala,737,343,97,26
Ireland,872,350,75,13
New Zealand,367,94,66,58
India,915,175,48,9
Cameroon,449,96,38,9
Malaysia,329,70,36,6
Viet Nam,302,99,29,5
Singapore,474,98,27,5
Taiwan region,147,48,27,4
Nepal,43,21,17,2
Brazil,485,60,15,2
Democratic Republic of The Congo,239,45,14,2
Cambodia,87,38,14,0
Nigeria,365,100,13,3
Kenya,389,52,12,1
South Africa,246,45,12,1
Ghana,439,88,11,1
Australia,271,44,11,0
Ecuador,243,44,11,1
China,113,24,10,0
Russian Federation,109,50,10,1
Cote D Ivoire,112,31,9,1
Lao Peoples Democratic Republic,48,30,9,2
Ethiopia,219,27,8,3
Gabon,67,12,8,0
Romania,37,11,8,0
United Kingdom,233,37,7,1
Canada,178,17,7,4
France,103,17,7,1
Japan,96,15,7,5
Tanzania,27,14,7,1
Thailand,244,26,6,0
Uganda,206,46,6,2
Mali,40,16,6,1
Algeria,37,11,6,1
Hong Kong SAR of China,193,29,5,0
Benin,72,30,5,0
El Salvador,72,19,5,0
Tunisia,63,14,5,0
Kyrgyzstan,55,15,5,2
Turkey,48,10,5,1
Italy,43,12,5,0
Chad,29,9,5,4
Peru,75,13,4,2
Egypt,53,17,4,0
Togo,52,15,4,1
Liberia,51,15,4,2
Lebanon,46,11,4,0
Kazakhstan,45,13,4,1
Guyana,45,13,4,0
United Arab Emirates,211,16,3,1
South Korea,128,13,3,0
Panama,93,12,3,0
Ukraine,88,14,3,0
Netherlands,56,13,3,2
Saudi Arabia,54,7,3,2
Somalia,53,6,3,0
Nicaragua,43,14,3,0
Moldova,33,14,3,2
Belgium,26,6,3,1
Swaziland,24,15,3,0
Burkina Faso,22,14,3,0
Bhutan,22,6,3,0
Sierra Leone,17,11,3,0
Germany,114,17,2,0
Zimbabwe,88,12,2,0
Chile,77,6,2,0
Myanmar,69,16,2,0
Mauritius,53,7,2,1
Dominican Republic,52,5,2,0
Congo,51,11,2,1
Bolivia,40,11,2,0
Malawi,36,7,2,1
Papua New Guinea,30,4,2,0
Angola,28,7,2,0
Gambia,23,14,2,1
Central African Republic,20,14,2,0
Pakistan,18,4,2,0
Lithuania,17,3,2,0
Costa Rica,140,8,1,0
Zambia,112,21,1,0
Spain,92,8,1,1
Honduras,77,8,1,0
Madagascar,58,8,1,0
Haiti,55,4,1,0
Jordan,51,5,1,0
Timor-Leste,50,15,1,0
Burundi,39,8,1,0
Bangladesh,33,6,1,0
Mongolia,29,12,1,0
Iraq,29,4,1,0
Kuwait,27,4,1,1
Paraguay,27,2,1,0
Qatar,23,4,1,0
Rwanda,20,4,1,0
Switzerland,18,2,1,1
Suriname,16,6,1,0
Morocco,14,2,1,0
Senegal,12,3,1,0
Czech Republic,11,3,1,0
Namibia,11,1,1,0
Israel,11,1,1,0
Solomon Islands,10,1,1,0
Sweden,9,2,1,0
Guinea,8,2,1,0
Cuba,8,2,1,0
Portugal,7,3,1,0
Sudan,6,1,1,1
Cyprus,5,1,1,0
Syrian Arab Republic,4,2,1,0
Niger,4,1,1,0
Malta,1,1,1,1
Poland,58,5,0,0
Puerto Rico,49,6,0,0
Trinidad and Tobago,46,4,0,0
Fiji,39,8,0,0
Albania,32,5,0,0
Barbados,27,3,0,0
