#=================================================================
# GodTools
# Report Suite: God Tools Mobile App
"# Date: Dec 25, 2019 - Dec 23, 2020"
#=================================================================


##############################################
# GodTools Digital Missionaires
##############################################
,Active User (GodTools),Active User (GodTools),Active User (GodTools),Active User (GodTools)
,Last FULL 365 days (-2),Last FULL 90 days (-2),Last FULL 30 days (-2),Last FULL 7 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,26747,7455,2161,410
Venezuela,1716,1008,329,54
Indonesia,2175,900,246,15
Mexico,1682,837,220,50
Colombia,1490,640,161,31
Argentina,1131,519,145,30
Philippines,1936,480,143,27
United States,5344,478,105,32
Guatemala,710,339,91,15
Ireland,856,345,79,14
India,913,186,45,12
Cameroon,450,93,44,10
Viet Nam,313,95,37,4
Malaysia,329,70,33,24
Singapore,476,96,29,2
Taiwan region,154,48,27,2
Ecuador,243,47,25,2
Nigeria,363,107,18,2
Democratic Republic of The Congo,238,44,18,0
Brazil,487,62,16,2
Ghana,440,92,16,1
Australia,275,46,16,3
Nepal,43,21,16,2
New Zealand,342,56,15,4
Kenya,389,62,14,5
South Africa,245,44,14,2
Cambodia,89,37,13,7
Benin,73,31,13,0
Lao Peoples Democratic Republic,47,27,13,1
China,139,23,12,2
Russian Federation,109,51,11,7
Cote D Ivoire,112,38,10,7
Gabon,68,12,10,2
Romania,37,11,9,0
Hong Kong SAR of China,195,30,8,0
Tunisia,65,14,8,1
Thailand,246,29,7,1
United Kingdom,234,39,7,2
Ethiopia,227,27,7,3
France,103,18,7,1
Turkey,53,11,7,2
Egypt,51,18,7,3
Uganda,208,48,6,0
Togo,53,16,6,2
Lebanon,48,12,6,1
Mali,41,17,6,3
Tanzania,27,13,6,1
Gambia,23,15,6,0
Canada,180,17,5,2
Panama,93,13,5,0
Ukraine,89,16,5,0
El Salvador,74,20,5,1
Peru,73,11,5,1
Kazakhstan,46,13,5,1
Italy,43,11,5,2
Algeria,37,11,5,1
Swaziland,24,16,5,1
Zambia,113,21,4,0
Myanmar,70,17,4,0
Guyana,44,13,4,0
Nicaragua,43,14,4,1
Burkina Faso,22,15,4,1
Central African Republic,20,16,4,0
Suriname,16,6,4,0
South Korea,132,15,3,1
Japan,96,11,3,1
Kyrgyzstan,54,15,3,1
Somalia,53,9,3,0
Liberia,52,15,3,1
Congo,50,11,3,1
Timor-Leste,49,16,3,0
Angola,28,7,3,1
Bhutan,23,6,3,0
Sierra Leone,17,11,3,0
Pakistan,17,5,3,0
Costa Rica,141,10,2,0
Germany,114,18,2,0
Spain,92,8,2,0
Zimbabwe,89,11,2,0
Poland,58,5,2,0
Netherlands,55,11,2,0
Saudi Arabia,55,8,2,2
Mauritius,53,7,2,2
Dominican Republic,52,5,2,1
Jordan,51,5,2,0
Bolivia,40,11,2,0
Burundi,39,11,2,0
Moldova,33,13,2,1
Iraq,30,5,2,0
Chad,27,7,2,1
Belgium,25,5,2,1
Lithuania,17,3,2,1
Portugal,6,2,2,0
United Arab Emirates,213,15,1,1
Honduras,77,8,1,1
Chile,76,6,1,0
Madagascar,58,8,1,0
Haiti,55,5,1,0
Bangladesh,33,6,1,0
Albania,32,5,1,0
Mongolia,29,13,1,1
Kuwait,28,4,1,0
Papua New Guinea,28,3,1,0
Paraguay,27,7,1,0
Qatar,23,4,1,0
Rwanda,20,6,1,0
Morocco,14,3,1,0
Senegal,12,3,1,0
Czech Republic,11,4,1,0
Israel,11,1,1,0
Solomon Islands,10,1,1,0
Mozambique,9,4,1,0
Sweden,9,2,1,0
Cuba,8,2,1,0
Guinea,8,2,1,0
South Sudan,4,3,1,0
Syrian Arab Republic,4,2,1,0
Cyprus,4,1,1,1
Niger,4,1,1,0
Puerto Rico,48,6,0,0
Trinidad and Tobago,46,4,0,0
Fiji,39,8,0,0
Malawi,36,5,0,0
Barbados,27,4,0,0
Jamaica,23,9,0,0
Tonga,22,1,0,0
