#=================================================================
# GodTools
# Report Suite: God Tools Mobile App
"# Date: Dec 30, 2019 - Dec 28, 2020"
#=================================================================


##############################################
# GodTools Digital Missionaires
##############################################
,Active User (GodTools),Active User (GodTools),Active User (GodTools),Active User (GodTools)
,Last FULL 365 days (-2),Last FULL 90 days (-2),Last FULL 30 days (-2),Last FULL 7 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,26733,7405,1984,373
Venezuela,1734,993,282,24
Mexico,1726,844,226,59
Colombia,1533,660,176,48
Indonesia,2188,905,150,10
Philippines,1940,460,146,23
Argentina,1145,508,128,16
United States,5196,465,110,28
Guatemala,727,337,90,18
Ireland,868,349,77,11
New Zealand,358,86,50,40
India,914,175,48,8
Cameroon,448,94,40,10
Malaysia,329,71,36,10
Viet Nam,303,99,30,6
Taiwan region,147,48,28,4
Singapore,474,96,26,4
Nepal,43,21,17,3
Brazil,488,61,15,2
Democratic Republic of The Congo,239,44,14,2
Cambodia,88,38,14,0
Ghana,439,87,12,1
Kenya,389,53,12,1
Nigeria,364,100,12,2
South Africa,246,46,12,1
Australia,271,44,11,0
Ecuador,243,44,11,1
China,115,24,10,0
Russian Federation,109,51,10,1
Cote D Ivoire,112,37,9,2
Lao Peoples Democratic Republic,48,29,9,1
Ethiopia,221,27,8,3
Gabon,67,12,8,0
Romania,37,11,8,0
United Kingdom,234,37,7,1
Uganda,208,47,7,2
Canada,179,17,7,4
France,103,17,7,1
Tanzania,27,14,7,1
Thailand,245,26,6,0
Hong Kong SAR of China,193,29,6,0
Japan,96,14,6,4
Tunisia,64,14,6,0
Mali,40,17,6,2
Benin,72,31,5,0
El Salvador,72,19,5,0
Kyrgyzstan,55,15,5,2
Egypt,52,17,5,0
Turkey,48,10,5,1
Italy,43,12,5,2
Algeria,36,10,5,0
Chad,29,9,5,4
Togo,53,15,4,2
Liberia,51,15,4,2
Lebanon,46,11,4,0
Guyana,45,13,4,0
United Arab Emirates,211,16,3,1
South Korea,130,14,3,0
Panama,93,12,3,0
Ukraine,88,14,3,0
Peru,75,12,3,1
Netherlands,57,13,3,2
Saudi Arabia,54,7,3,1
Somalia,53,8,3,0
Kazakhstan,45,12,3,0
Nicaragua,43,14,3,0
Moldova,33,14,3,2
Swaziland,24,16,3,0
Bhutan,23,6,3,0
Burkina Faso,22,15,3,0
Sierra Leone,17,11,3,0
Costa Rica,140,8,2,0
Germany,114,17,2,0
Zambia,112,21,2,0
Zimbabwe,89,12,2,0
Myanmar,69,17,2,0
Mauritius,53,7,2,1
Dominican Republic,52,5,2,0
Congo,51,11,2,1
Jordan,50,5,2,0
Bolivia,40,11,2,0
Papua New Guinea,30,4,2,0
Angola,28,7,2,0
Belgium,25,5,2,1
Gambia,23,14,2,1
Central African Republic,20,14,2,0
Pakistan,17,4,2,0
Lithuania,17,3,2,0
Suriname,16,6,2,0
Spain,93,9,1,1
Honduras,77,8,1,0
Chile,76,5,1,0
Madagascar,58,8,1,0
Haiti,55,4,1,0
Timor-Leste,49,15,1,0
Burundi,39,8,1,0
Malawi,35,6,1,0
Bangladesh,33,6,1,0
Iraq,30,4,1,0
Mongolia,29,12,1,0
Kuwait,28,4,1,1
Paraguay,27,2,1,0
Qatar,23,4,1,0
Rwanda,20,4,1,0
Switzerland,18,2,1,1
Morocco,14,2,1,0
Senegal,12,3,1,0
Czech Republic,11,3,1,0
Namibia,11,1,1,0
Israel,11,1,1,0
Solomon Islands,10,1,1,0
Mozambique,9,3,1,0
Sweden,9,2,1,0
Guinea,8,2,1,0
Cuba,8,2,1,0
Portugal,7,3,1,0
Sudan,6,1,1,1
Cyprus,5,1,1,1
Syrian Arab Republic,4,2,1,0
Niger,4,1,1,0
Malta,1,1,1,1
Poland,58,5,0,0
Puerto Rico,49,6,0,0
Trinidad and Tobago,46,4,0,0
Fiji,39,8,0,0
Albania,32,5,0,0
