#=================================================================
# GodTools
# Report Suite: God Tools Mobile App
"# Date: Dec 27, 2019 - Dec 25, 2020"
#=================================================================


##############################################
# GodTools Digital Missionaires
##############################################
,Active User (GodTools),Active User (GodTools),Active User (GodTools),Active User (GodTools)
,Last FULL 365 days (-2),Last FULL 90 days (-2),Last FULL 30 days (-2),Last FULL 7 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,26754,7417,2030,381
Venezuela,1723,1004,307,48
Mexico,1695,829,223,48
Indonesia,2181,901,205,14
Colombia,1504,648,155,34
Philippines,1941,473,141,25
Argentina,1138,518,137,22
United States,5336,473,98,31
Guatemala,714,342,85,16
Ireland,862,343,78,12
India,913,178,43,9
Cameroon,448,94,41,8
Viet Nam,305,95,36,5
Malaysia,329,71,33,20
Taiwan region,150,48,27,2
Singapore,471,95,26,1
Ecuador,243,45,26,2
Brazil,487,61,17,2
Australia,273,46,16,3
Democratic Republic of The Congo,239,43,16,1
Nepal,43,21,16,2
Ghana,438,92,14,1
Nigeria,363,102,14,1
Cambodia,89,38,14,7
Kenya,389,60,12,2
Lao Peoples Democratic Republic,48,29,12,2
New Zealand,340,56,11,4
South Africa,245,44,11,0
China,128,24,11,1
Russian Federation,109,51,11,7
Cote D Ivoire,112,38,10,5
Gabon,68,12,9,2
Romania,37,11,9,0
Hong Kong SAR of China,193,30,8,0
United Kingdom,235,39,7,2
Ethiopia,224,28,7,4
France,103,18,7,1
Tunisia,65,14,7,1
Tanzania,27,14,7,2
Thailand,245,27,6,0
Uganda,208,46,6,0
Egypt,51,18,6,2
Turkey,51,11,6,2
Mali,41,17,6,3
Gambia,23,15,6,0
Canada,179,16,5,2
Japan,95,13,5,3
Benin,73,31,5,0
El Salvador,72,19,5,1
Lebanon,46,11,5,1
Italy,44,12,5,2
Algeria,36,11,5,1
Swaziland,24,16,5,1
Ukraine,88,15,4,0
Kyrgyzstan,54,15,4,1
Togo,53,16,4,2
Liberia,51,16,4,2
Kazakhstan,46,12,4,1
Burkina Faso,22,15,4,1
South Korea,131,15,3,0
Zambia,113,21,3,0
Panama,93,13,3,0
Myanmar,69,17,3,0
Saudi Arabia,55,8,3,3
Somalia,53,9,3,0
Congo,50,11,3,1
Timor-Leste,49,15,3,0
Guyana,44,12,3,0
Nicaragua,43,14,3,1
Bhutan,23,6,3,0
Central African Republic,20,14,3,0
Sierra Leone,17,11,3,0
Pakistan,17,5,3,0
Suriname,16,6,3,0
Costa Rica,140,9,2,0
Germany,114,18,2,0
Spain,92,8,2,0
Zimbabwe,88,11,2,0
Peru,73,11,2,0
Poland,58,5,2,0
Netherlands,54,10,2,0
Mauritius,53,7,2,1
Dominican Republic,52,5,2,1
Jordan,50,5,2,0
Bolivia,40,11,2,0
Moldova,33,13,2,1
Papua New Guinea,29,4,2,0
Angola,28,7,2,1
Chad,27,6,2,1
Belgium,25,5,2,1
Lithuania,17,3,2,1
Portugal,6,2,2,0
United Arab Emirates,211,15,1,0
Honduras,77,8,1,1
Chile,76,5,1,0
Madagascar,58,8,1,0
Haiti,55,4,1,0
Burundi,39,8,1,0
Malawi,37,6,1,0
Bangladesh,33,6,1,0
Albania,32,5,1,0
Iraq,30,4,1,0
Mongolia,29,13,1,1
Kuwait,28,4,1,1
Paraguay,27,7,1,0
Qatar,23,4,1,0
Rwanda,20,4,1,0
Morocco,14,3,1,0
Senegal,12,3,1,0
Czech Republic,11,4,1,0
Israel,11,1,1,0
Solomon Islands,10,1,1,0
Mozambique,9,3,1,0
Sweden,9,2,1,0
Cuba,8,2,1,0
Guinea,8,2,1,0
Sudan,6,1,1,1
South Sudan,4,3,1,0
Syrian Arab Republic,4,2,1,0
Cyprus,4,1,1,1
Niger,4,1,1,0
Malta,1,1,1,1
Puerto Rico,48,6,0,0
Trinidad and Tobago,46,4,0,0
Fiji,39,8,0,0
Barbados,27,3,0,0
