#=================================================================
# GodTools
# Report Suite: God Tools Mobile App
"# Date: Dec 2, 2019 - Nov 30, 2020"
#=================================================================


##############################################
# GodTools Digital Missionaires
##############################################
,Active User (GodTools),Active User (GodTools),Active User (GodTools),Active User (GodTools)
,Last FULL 365 days (-2),Last FULL 90 days (-2),Last FULL 30 days (-2),Last FULL 7 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,26290,7777,2869,604
Indonesia,2178,902,628,151
Venezuela,1444,917,372,77
Mexico,1498,872,250,35
Colombia,1354,636,212,37
Argentina,1024,545,187,35
United States,5535,540,158,17
Philippines,1886,651,140,33
Guatemala,630,332,140,24
Ireland,777,349,123,21
India,937,204,59,6
Viet Nam,327,107,52,11
Ghana,454,111,38,8
Singapore,507,91,30,11
Cameroon,439,77,28,8
Nigeria,366,127,23,6
Malaysia,339,59,22,3
Uganda,215,86,22,1
Benin,88,36,22,10
Ecuador,240,52,21,14
South Africa,244,47,20,5
Australia,290,54,19,4
New Zealand,347,62,18,4
Democratic Republic of The Congo,231,48,17,6
Lao Peoples Democratic Republic,40,21,17,5
Hong Kong SAR of China,208,37,15,4
Brazil,488,70,14,4
United Kingdom,238,36,13,1
Taiwan region,155,38,12,4
Egypt,52,16,12,2
Kenya,383,94,11,2
Cambodia,95,27,11,2
Cote D Ivoire,110,34,10,1
Mali,37,16,10,1
Gambia,21,17,10,4
El Salvador,92,16,9,1
Myanmar,73,19,9,2
Togo,53,15,9,2
Timor-Leste,46,32,9,1
South Korea,142,20,8,0
Swaziland,20,12,8,0
Burkina Faso,18,12,8,2
Canada,184,20,7,1
Russian Federation,106,42,7,2
Ukraine,100,16,7,2
Liberia,55,24,7,1
Lebanon,54,11,7,4
Bolivia,37,10,7,0
China,193,17,6,3
Germany,116,21,6,0
France,99,15,6,0
Panama,92,15,6,1
Peru,77,15,6,4
Tunisia,70,15,5,3
Congo,48,11,5,3
Moldova,33,12,5,0
Central African Republic,21,16,5,3
Thailand,263,37,4,1
Ethiopia,243,29,4,1
United Arab Emirates,224,31,4,0
Chile,77,5,4,0
Poland,61,7,4,2
Kazakhstan,55,13,4,2
Puerto Rico,49,12,4,0
Fiji,44,12,4,0
Algeria,40,10,4,0
Costa Rica,143,10,3,1
Zambia,119,22,3,2
Spain,96,7,3,1
Gabon,61,6,3,3
Turkey,60,7,3,2
Somalia,59,7,3,0
Madagascar,56,10,3,0
Netherlands,53,9,3,0
Guyana,41,10,3,1
Burundi,39,11,3,2
Romania,34,3,3,1
Nepal,31,11,3,1
Belgium,28,6,3,1
Chad,25,4,3,1
Tanzania,21,5,3,0
Belarus,10,5,3,0
Japan,122,12,2,1
Kyrgyzstan,63,17,2,0
Haiti,58,8,2,0
Saudi Arabia,55,10,2,0
Jordan,54,5,2,1
Nicaragua,41,12,2,1
Angola,29,13,2,1
Barbados,29,4,2,0
Iraq,29,3,2,1
Qatar,22,4,2,0
Senegal,17,3,2,0
Suriname,15,4,2,1
Mozambique,10,4,2,1
Finland,8,2,2,0
South Sudan,3,2,2,0
Grenada,3,2,2,0
Zimbabwe,92,14,1,0
Mauritius,52,9,1,0
Dominican Republic,52,4,1,0
Trinidad and Tobago,47,4,1,0
Malawi,42,4,1,0
Italy,41,8,1,1
Bangladesh,34,15,1,0
Albania,32,5,1,1
Kuwait,28,5,1,0
Paraguay,27,8,1,0
Rwanda,21,9,1,0
Hungary,20,4,1,0
Bahrain,17,1,1,0
Sierra Leone,15,9,1,1
Pakistan,15,7,1,1
Morocco,14,2,1,0
Macau SAR of China,10,1,1,0
Portugal,7,1,1,1
Uzbekistan,3,1,1,0
Syrian Arab Republic,3,1,1,0
Bahamas,2,1,1,0
Honduras,76,8,0,0
Mongolia,33,16,0,0
Papua New Guinea,27,2,0,0
Jamaica,24,9,0,0
Bhutan,21,3,0,0
Sri Lanka,20,3,0,0
Tonga,20,2,0,0
