#=================================================================
# GodTools
# Report Suite: God Tools Mobile App
"# Date: Dec 28, 2019 - Dec 26, 2020"
#=================================================================


##############################################
# GodTools Digital Missionaires
##############################################
,Active User (GodTools),Active User (GodTools),Active User (GodTools),Active User (GodTools)
,Last FULL 365 days (-2),Last FULL 90 days (-2),Last FULL 30 days (-2),Last FULL 7 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,26784,7404,1984,356
Venezuela,1727,998,300,38
Mexico,1703,829,220,49
Indonesia,2185,905,179,10
Colombia,1513,650,158,35
Philippines,1942,468,146,21
Argentina,1138,514,131,21
United States,5329,470,100,33
Guatemala,716,336,84,11
Ireland,864,343,76,11
India,914,179,46,11
Cameroon,450,94,42,11
Viet Nam,305,97,37,6
Malaysia,331,70,35,18
Singapore,472,96,27,2
Taiwan region,148,48,26,2
Brazil,488,62,18,3
Nepal,43,22,17,3
Ghana,439,91,15,1
Democratic Republic of The Congo,239,44,15,1
Ecuador,244,45,14,2
Cambodia,89,38,14,7
Nigeria,364,103,13,1
Australia,273,44,13,2
New Zealand,341,57,12,4
Kenya,389,59,11,1
China,121,24,11,1
South Africa,245,44,10,0
Cote D Ivoire,112,38,10,4
Lao Peoples Democratic Republic,48,29,10,1
Russian Federation,109,51,9,6
Hong Kong SAR of China,192,29,8,0
Gabon,67,12,8,2
Romania,37,11,8,0
United Kingdom,235,38,7,1
Ethiopia,221,28,7,4
France,103,18,7,2
Tanzania,27,14,7,1
Thailand,245,27,6,0
Uganda,208,45,6,0
Tunisia,65,14,6,0
Turkey,50,11,6,2
Mali,41,17,6,3
Gambia,23,15,6,0
Canada,180,16,5,2
Benin,72,31,5,0
El Salvador,72,19,5,0
Kyrgyzstan,55,15,5,2
Egypt,52,18,5,2
Lebanon,46,11,5,0
Italy,43,12,5,2
Algeria,36,11,5,0
Swaziland,24,16,5,0
Japan,95,12,4,2
Ukraine,88,15,4,0
Togo,53,16,4,2
Liberia,51,16,4,2
Kazakhstan,46,12,4,0
Guyana,45,13,4,0
South Korea,131,15,3,0
Zambia,112,21,3,0
Panama,93,13,3,0
Peru,74,12,3,1
Myanmar,69,17,3,0
Netherlands,56,12,3,1
Saudi Arabia,54,8,3,2
Somalia,53,8,3,0
Congo,50,11,3,1
Timor-Leste,49,15,3,0
Nicaragua,43,14,3,0
Chad,27,7,3,2
Bhutan,23,6,3,0
Burkina Faso,22,15,3,0
Central African Republic,20,14,3,0
Sierra Leone,17,11,3,0
Pakistan,17,5,3,0
Suriname,16,6,3,0
Costa Rica,140,9,2,0
Germany,114,18,2,0
Zimbabwe,89,12,2,0
Poland,58,5,2,0
Mauritius,53,7,2,1
Dominican Republic,52,5,2,1
Jordan,50,5,2,0
Bolivia,40,11,2,0
Moldova,33,13,2,1
Papua New Guinea,29,4,2,0
Angola,28,7,2,1
Belgium,25,5,2,1
Lithuania,17,3,2,1
United Arab Emirates,211,14,1,0
Honduras,77,8,1,0
Chile,76,5,1,0
Madagascar,58,8,1,0
Haiti,55,4,1,0
Burundi,39,8,1,0
Malawi,36,6,1,0
Bangladesh,33,6,1,0
Albania,32,5,1,0
Iraq,30,4,1,0
Mongolia,29,13,1,1
Kuwait,28,4,1,1
Paraguay,27,7,1,0
Qatar,23,4,1,0
Rwanda,20,4,1,0
Switzerland,19,2,1,1
Morocco,14,3,1,0
Senegal,12,3,1,0
Czech Republic,11,3,1,0
Namibia,11,1,1,1
Israel,11,1,1,0
Solomon Islands,10,1,1,0
Mozambique,9,3,1,0
Sweden,9,2,1,0
Guinea,8,2,1,0
Cuba,8,2,1,0
Portugal,6,2,1,0
Sudan,6,1,1,1
South Sudan,4,3,1,0
Syrian Arab Republic,4,2,1,0
Cyprus,4,1,1,1
Niger,4,1,1,0
Malta,1,1,1,1
Spain,92,8,0,0
Puerto Rico,49,6,0,0
Trinidad and Tobago,46,4,0,0
