#=================================================================
# GodTools
# Report Suite: God Tools Mobile App
"# Date: Dec 5, 2019 - Dec 3, 2020"
#=================================================================


##############################################
# GodTools Digital Missionaires
##############################################
,Active User (GodTools),Active User (GodTools),Active User (GodTools),Active User (GodTools)
,Last FULL 365 days (-2),Last FULL 90 days (-2),Last FULL 30 days (-2),Last FULL 7 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,26301,7567,2772,510
Indonesia,2175,899,614,102
Venezuela,1473,898,366,67
Mexico,1525,842,243,45
Colombia,1367,605,206,35
Argentina,1030,522,157,32
United States,5489,521,153,20
Guatemala,647,320,137,26
Philippines,1888,589,131,31
Ireland,779,331,114,16
India,933,210,63,12
Viet Nam,328,109,50,16
Ghana,446,111,34,7
Singapore,503,90,29,9
Cameroon,437,81,28,5
Uganda,217,89,23,3
Malaysia,338,61,22,3
Ecuador,240,53,22,5
Benin,88,31,22,0
Nigeria,365,121,21,2
South Africa,246,49,21,4
Australia,288,56,20,5
New Zealand,343,62,18,0
Lao Peoples Democratic Republic,40,21,18,2
Brazil,489,71,15,5
Democratic Republic of The Congo,231,46,15,3
Hong Kong SAR of China,207,36,14,4
Taiwan region,153,38,13,3
United Kingdom,235,35,12,1
Gambia,22,18,11,5
Egypt,52,16,10,1
Timor-Leste,47,33,10,1
Kenya,383,79,9,0
Ukraine,98,18,9,2
Myanmar,74,19,9,2
Mali,37,16,9,0
Burkina Faso,19,13,9,1
South Korea,142,19,8,1
Cambodia,92,26,8,2
Bolivia,38,11,8,1
China,188,18,7,2
Canada,182,20,7,2
Russian Federation,105,42,7,0
Panama,92,16,7,1
Liberia,54,24,7,1
Lebanon,53,10,7,3
Germany,116,21,6,0
Cote D Ivoire,110,33,6,1
El Salvador,93,17,6,2
Peru,76,14,6,0
Tunisia,70,15,6,1
Togo,53,15,6,0
Moldova,34,13,6,1
Thailand,261,34,5,1
France,99,13,5,0
Central African Republic,20,16,5,2
Suriname,16,6,5,2
Ethiopia,241,28,4,1
United Arab Emirates,221,28,4,0
Chile,78,6,4,1
Poland,60,7,4,2
Congo,48,12,4,1
Costa Rica,143,9,3,1
Zambia,120,20,3,2
Gabon,62,6,3,0
Turkey,59,8,3,2
Somalia,59,6,3,0
Kazakhstan,55,13,3,1
Puerto Rico,49,12,3,0
Fiji,43,12,3,0
Guyana,42,10,3,1
Burundi,39,11,3,0
Algeria,38,10,3,1
Nepal,31,11,3,1
Belgium,28,5,3,1
Tanzania,20,5,3,0
Belarus,10,5,3,0
Japan,120,10,2,0
Spain,96,6,2,0
Haiti,58,8,2,0
Saudi Arabia,55,9,2,0
Netherlands,54,9,2,1
Jordan,54,5,2,1
Nicaragua,42,13,2,1
Romania,33,3,2,0
Kuwait,29,6,2,1
Iraq,29,3,2,0
Angola,28,12,2,0
Barbados,28,4,2,0
Chad,25,4,2,0
Qatar,22,4,2,0
Swaziland,20,12,2,0
Senegal,17,3,2,0
Sierra Leone,16,10,2,1
Pakistan,16,6,2,1
Morocco,14,3,2,1
Mozambique,10,4,2,1
Portugal,7,2,2,1
Grenada,3,2,2,0
Zimbabwe,89,12,1,0
Kyrgyzstan,63,19,1,0
Dominican Republic,52,4,1,0
Mauritius,51,9,1,0
Trinidad and Tobago,46,4,1,0
Italy,41,8,1,0
Malawi,41,4,1,0
Bangladesh,33,14,1,0
Mongolia,32,16,1,1
Albania,32,5,1,1
Paraguay,27,8,1,1
Rwanda,20,7,1,0
Hungary,18,4,1,0
Bahrain,17,1,1,0
Macau SAR of China,10,1,1,0
Sweden,9,2,1,1
Finland,8,2,1,0
South Sudan,3,2,1,0
Syrian Arab Republic,3,1,1,0
Uzbekistan,3,1,1,0
Honduras,76,8,0,0
Madagascar,56,10,0,0
Papua New Guinea,27,2,0,0
Jamaica,24,9,0,0
Bhutan,21,3,0,0
Sri Lanka,20,3,0,0
Switzerland,20,2,0,0
