#=================================================================
# GodTools
# Report Suite: God Tools Mobile App
"# Date: Dec 3, 2019 - Dec 1, 2020"
#=================================================================


##############################################
# GodTools Digital Missionaires
##############################################
,Active User (GodTools),Active User (GodTools),Active User (GodTools),Active User (GodTools)
,Last FULL 365 days (-2),Last FULL 90 days (-2),Last FULL 30 days (-2),Last FULL 7 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,26297,7715,2861,551
Indonesia,2186,910,637,131
Venezuela,1456,918,372,74
Mexico,1507,861,245,41
Colombia,1356,626,210,34
Argentina,1026,535,183,30
United States,5518,534,159,13
Philippines,1890,620,141,36
Guatemala,638,330,137,25
Ireland,779,340,123,21
India,938,206,60,6
Viet Nam,327,108,48,11
Ghana,447,112,38,8
Singapore,505,91,31,11
Cameroon,438,79,28,7
Nigeria,366,125,23,4
Malaysia,339,60,23,4
Benin,88,35,22,0
Ecuador,239,52,21,14
Uganda,215,86,21,0
South Africa,246,48,19,5
New Zealand,346,62,18,4
Australia,289,54,18,4
Lao Peoples Democratic Republic,40,21,17,5
Democratic Republic of The Congo,230,48,16,5
Hong Kong SAR of China,208,37,15,4
Brazil,488,70,14,4
United Kingdom,238,36,13,1
Taiwan region,154,39,13,5
Kenya,384,92,11,1
Egypt,52,16,11,1
Cote D Ivoire,110,35,10,1
Cambodia,95,26,10,2
Myanmar,74,20,10,2
Mali,37,16,10,0
Gambia,21,17,10,4
El Salvador,92,16,9,1
Timor-Leste,46,32,9,1
South Korea,141,19,8,0
Togo,53,15,8,1
Bolivia,38,11,8,1
Swaziland,20,12,8,0
Burkina Faso,18,12,8,2
Russian Federation,106,42,7,2
Ukraine,99,16,7,1
Liberia,54,24,7,1
Lebanon,54,10,7,3
China,192,17,6,1
Canada,184,19,6,1
Germany,116,21,6,0
France,99,14,6,0
Panama,92,15,6,1
Peru,77,15,6,1
United Arab Emirates,223,31,5,0
Chile,78,6,5,1
Tunisia,70,15,5,3
Congo,48,11,5,2
Moldova,33,12,5,0
Central African Republic,21,16,5,2
Thailand,261,37,4,0
Poland,60,7,4,2
Kazakhstan,55,13,4,2
Fiji,44,12,4,0
Ethiopia,241,27,3,1
Costa Rica,143,10,3,1
Zambia,119,22,3,2
Turkey,62,8,3,2
Gabon,62,6,3,2
Somalia,59,7,3,0
Madagascar,56,10,3,0
Puerto Rico,49,12,3,0
Guyana,41,9,3,1
Burundi,39,11,3,0
Algeria,38,10,3,1
Romania,34,3,3,0
Nepal,31,11,3,1
Belgium,28,5,3,1
Chad,25,4,3,0
Tanzania,21,5,3,0
Suriname,15,4,3,2
Belarus,10,5,3,0
Japan,121,12,2,0
Spain,96,7,2,1
Kyrgyzstan,63,17,2,0
Haiti,58,8,2,0
Saudi Arabia,55,10,2,0
Jordan,54,5,2,1
Netherlands,53,9,2,0
Nicaragua,41,12,2,0
Angola,29,13,2,0
Kuwait,29,6,2,1
Iraq,29,3,2,1
Barbados,28,4,2,0
Qatar,22,4,2,0
Senegal,17,3,2,0
Mozambique,10,4,2,1
South Sudan,3,2,2,0
Grenada,3,2,2,0
Zimbabwe,92,13,1,0
Mauritius,52,9,1,0
Dominican Republic,52,4,1,0
Trinidad and Tobago,47,4,1,0
Italy,41,8,1,0
Malawi,41,4,1,0
Bangladesh,33,15,1,0
Albania,32,5,1,1
Paraguay,27,8,1,0
Rwanda,21,8,1,0
Hungary,18,4,1,0
Bahrain,17,1,1,0
Sierra Leone,15,9,1,1
Pakistan,15,7,1,1
Morocco,14,2,1,0
Macau SAR of China,10,1,1,0
Finland,8,2,1,0
Portugal,7,1,1,1
Syrian Arab Republic,3,1,1,0
Uzbekistan,3,1,1,0
Bahamas,2,1,1,0
Honduras,76,8,0,0
Mongolia,32,16,0,0
Papua New Guinea,27,2,0,0
Jamaica,24,9,0,0
Bhutan,21,3,0,0
Sri Lanka,20,3,0,0
Tonga,20,2,0,0
